"_id","timestamp","device_id","double_latitude","double_longitude","double_bearing","double_speed","double_altitude","provider","accuracy","label"
1,1587649167067,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.6859826275056","79.2253563784876","-1.0","-1.0","276.15188598633","gps","65.0",""
2,1587649287160,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.76480497290815","79.05843278060013","-1.0","-1.0","276.15188598633","gps","65.0",""
3,1587649287477,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.146555067906206","79.9933388533833","-1.0","-1.0","277.38314819336","fused","65.0",""
4,1587649401920,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.10718013370504","79.83738656353671","-1.0","-1.0","276.15188598633","gps","65.0",""
5,1587649402604,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.57273987810293","79.02416422361249","-1.0","-1.0","276.51873779297","gps","65.0",""
6,1587649522598,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.9680504323937","79.521652583949","-1.0","-1.0","276.51873779297","gps","65.0",""
7,1587649523142,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.899518574506686","79.47726181231653","-1.0","-1.0","276.49633789062","fused","65.0",""
8,1587649642592,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.379686393356","79.32781586132116","-1.0","-1.0","276.51873779297","gps","65.0",""
9,1587649643118,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.259400789528456","79.24829496889991","-1.0","-1.0","276.27728271484","fused","65.0",""
10,1587649762592,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.08993414992925","79.90739698198833","-1.0","-1.0","276.51873779297","gps","65.0",""
11,1587649763099,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.209746339960006","79.6196359223234","-1.0","-1.0","276.1640625","fused","65.0",""
12,1587649882614,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.87487644293943","79.6494324011271","-1.0","-1.0","276.51873779297","gps","65.0",""
13,1587649883104,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.41851596423626","79.83549569985642","-1.0","-1.0","276.08694458008","fused","65.0",""
14,1587650002677,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.58903298619823","79.92163667567269","-1.0","-1.0","276.51873779297","gps","65.0",""
15,1587650003081,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.208955601460644","79.8302714311295","-1.0","-1.0","276.14526367188","fused","65.0",""
16,1587650122686,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.80036085126268","79.58863348781429","-1.0","-1.0","276.51873779297","gps","65.0",""
17,1587650123134,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.820472113234395","79.5106348036946","-1.0","-1.0","277.10317993164","fused","65.0",""
18,1587650242587,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.67013901327965","79.36043503009401","-1.0","-1.0","276.51873779297","gps","65.0",""
19,1587650243137,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.14758497273734","79.83796629889245","-1.0","-1.0","276.67135620117","fused","65.0",""
20,1587650362591,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.10147933534826","79.46517851736044","-1.0","-1.0","276.51873779297","gps","65.0",""
21,1587650363040,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.72295836666605","79.7337470466397","-1.0","-1.0","276.84265136719","fused","65.0",""
22,1587650482616,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.91051600052713","79.9349598598643","-1.0","-1.0","276.51873779297","gps","65.0",""
23,1587650483139,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.56712541835654","79.02448138446623","-1.0","-1.0","276.90963745117","fused","65.0",""
24,1587649167067,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.05478697590145","79.00511336745129","-1.0","-1.0","276.15188598633","gps","65.0",""
25,1587649287160,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.25039471109087","79.41259874872009","-1.0","-1.0","276.15188598633","gps","65.0",""
26,1587649287477,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.751695130245125","79.6548574162863","-1.0","-1.0","277.38314819336","fused","65.0",""
27,1587649401920,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.77957539993769","79.50895355120608","-1.0","-1.0","276.15188598633","gps","65.0",""
28,1587649402604,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.06665246392983","79.28034548659431","-1.0","-1.0","276.51873779297","gps","65.0",""
29,1587649522598,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.174159157662324","79.76933232567374","-1.0","-1.0","276.51873779297","gps","65.0",""
30,1587649523142,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.80639511767774","79.56245035467467","-1.0","-1.0","276.49633789062","fused","65.0",""
31,1587649642592,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.92335882937981","79.79143039177292","-1.0","-1.0","276.51873779297","gps","65.0",""
32,1587649643118,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.71853861338368","79.07641981434077","-1.0","-1.0","276.27728271484","fused","65.0",""
33,1587649762592,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.11999635333563","79.45383317671941","-1.0","-1.0","276.51873779297","gps","65.0",""
34,1587649763099,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.180729096730666","79.16876929407438","-1.0","-1.0","276.1640625","fused","65.0",""
35,1587649882614,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.74662723944823","79.5456381619302","-1.0","-1.0","276.51873779297","gps","65.0",""
36,1587649883104,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.30931445287237","79.64178078693092","-1.0","-1.0","276.08694458008","fused","65.0",""
37,1587650002677,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.54335060755966","79.43835159037144","-1.0","-1.0","276.51873779297","gps","65.0",""
38,1587650003081,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.64678030258641","79.07146222570127","-1.0","-1.0","276.14526367188","fused","65.0",""
39,1587650122686,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.24995576498448","79.49746796574632","-1.0","-1.0","276.51873779297","gps","65.0",""
40,1587650123134,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.150086630184354","79.56959106714741","-1.0","-1.0","277.10317993164","fused","65.0",""
41,1587650242587,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.09468097565923","79.37283688915981","-1.0","-1.0","276.51873779297","gps","65.0",""
42,1587650243137,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.671834545778644","79.13470436530005","-1.0","-1.0","276.67135620117","fused","65.0",""
43,1587650362591,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.753472601525715","79.00909916091467","-1.0","-1.0","276.51873779297","gps","65.0",""
44,1587650363040,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.783826350712324","79.23839863956286","-1.0","-1.0","276.84265136719","fused","65.0",""
45,1587650482616,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.86270750786928","79.65931167169309","-1.0","-1.0","276.51873779297","gps","65.0",""
46,1587650483139,"13dbc8a3-dae3-4834-823a-4bc96a7d459d","40.08792049897694","79.93158895143442","-1.0","-1.0","276.90963745117","fused","65.0",""
47,1587648785406,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","40.09105687660818","79.85641848356003","0.0","0.0","242.30000305176003","network","13.782",""
