"_id","timestamp","device_id","data_enabled","imei_meid_esn","software_version","line_number","network_country_iso_mcc","network_operator_code","network_operator_name","network_type","phone_type","sim_state","sim_operator_code","sim_operator_name","sim_serial","subscriber_id"
1,1587648784511,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
2,1587648785311,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
3,1587648791208,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
4,1587648791303,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
5,1587648791351,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
6,1587648835139,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
7,1587648953194,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
8,1587648970652,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
9,1587650596891,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
10,1587652376169,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
11,1587654195848,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
12,1587655997626,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
13,1587657807887,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
14,1587659609955,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
15,1587661407943,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
16,1587663181490,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",0,"","10","b9c837da3fa96a41f87dcf3efa0343c6b15abaef","us","310260","Mint",18,1,5,"310260","T-Mobile - US","",""
