"_id","timestamp","device_id","package_name","before_text","current_text","is_password"
1,"1587648869206.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","111","[11]",0
2,"1587648869364.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","11","[1]",0
3,"1587648869700.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","1","[11]",0
4,"1587648870002.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","11","[111]",0
5,"1587652011785.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","","[A]",0
6,"1587652012017.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aa","[Aaa]",0
7,"1587652012149.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaa","[Aaaa]",0
8,"1587652012524.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa","[Aaaa ]",0
9,"1587652012771.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa ","[Aaaa a]",0
10,"1587652013013.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa a","[Aaaa aa]",0
11,"1587652013175.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa aa","[Aaaa aaa]",0
12,"1587652013321.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa aaa","[Aaaa aaaa]",0
13,"1587652013542.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa aaaa","[Aaaa aaaa ]",0
14,"1587652013868.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa aaaa a","[Aaaa aaaa aa]",0
15,"1587652014172.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa aaaa aaa","[Aaaa aaaa aaaa]",0
16,"1587652014332.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa aaaa aaaa","[Aaaa aaaa aaaaa]",0
17,"1587652014460.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa aaaa aaaaa","[Aaaa aaaa aaaaa ]",0
18,"1587652017237.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa aaaa aaaaa ","[Aaaa aaaa aaaaa a]",0
19,"1587652017488.0","a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.facebook.mlite","Aaaa aaaa aaaaa a","[Aaaa aaaa aaaaa a ]",0
